No_of_authors,study_size,year,Journal_type
1,regional,1974,Biogeography
2,local,1974,Biogeography
1,local,1974,Biogeography
1,local,1974,Biogeography
1,country,1975,Biogeography
1,country,1975,Biogeography
1,country,1975,Biogeography
4,country,1975,Biogeography
3,country,1975,Biogeography
4,country,1976,Biogeography
1,local,1976,Biogeography
5,country,1976,Biogeography
4,local,1976,Biogeography
5,country,1976,Biogeography
2,country,1977,Biogeography
1,country,1977,Biogeography
2,local,1977,Biogeography
3,country,1977,Biogeography
2,country,1977,Biogeography
2,local,1978,Biogeography
3,country,1978,Biogeography
1,local,1978,Biogeography
2,local,1978,Biogeography
4,country,1978,Biogeography
2,local,1979,Biogeography
2,local,1979,Biogeography
1,country,1979,Biogeography
1,country,1979,Biogeography
4,country,1979,Biogeography
