year,journal,no_of_authors ,study_size
1974,Biogeography,1,regional
1974,Biogeography,2,local
1974,Biogeography,1,local
1974,Biogeography,1,local
1975,Biogeography,1,country
1975,Biogeography,1,country
1975,Biogeography,1,country
1975,Biogeography,4,country
1975,Biogeography,3,country
1976,Biogeography,4,country
1976,Biogeography,1,local
1976,Biogeography,5,country
1976,Biogeography,4,local
1976,Biogeography,5,country
1977,Biogeography,2,country
1977,Biogeography,1,country
1977,Biogeography,2,local
1977,Biogeography,3,country
1977,Biogeography,2,country
1978,Biogeography,2,local
1978,Biogeography,3,country
1978,Biogeography,1,local
1978,Biogeography,2,local
1978,Biogeography,4,country
1979,Biogeography,2,local
1979,Biogeography,2,local
1979,Biogeography,1,country
1979,Biogeography,1,country
1979,Biogeography,4,country
1978,Ecography,2,regional
1978,Ecography,2,regional
1978,Ecography,1,country
1978,Ecography,3,country
1978,Ecography,1,local
1979,Ecography,1,local
1979,Ecography,3,country
1979,Ecography,2,country
1979,Ecography,2,regional
1979,Ecography,1,regional
1970,Ecology,1,local
1970,Ecology,1,local
1970,Ecology,1,country
1970,Ecology,1,local
1970,Ecology,2,local
1971,Ecology,2,regional
1971,Ecology,1,local
1971,Ecology,3,local
1971,Ecology,1,local
1971,Ecology,1,local
1972,Ecology,2,local
1972,Ecology,1,local
1972,Ecology,3,country
1972,Ecology,1,regional
1972,Ecology,2,local
1973,Ecology,1,regional
1973,Ecology,1,local
1973,Ecology,2,local
1973,Ecology,4,local
1973,Ecology,1,local
1974,Ecology,2,regional
1974,Ecology,1,local
1974,Ecology,1,local
1974,Ecology,2,local
1974,Ecology,2,local
1975,Ecology,1,regional
1975,Ecology,2,local
1975,Ecology,2,local
1975,Ecology,2,local
1975,Ecology,2,local
1976,Ecology,1,local
1976,Ecology,3,local
1976,Ecology,1,local
1976,Ecology,1,regional
1976,Ecology,1,local
1977,Ecology,1,local
1977,Ecology,1,regional
1977,Ecology,1,local
1977,Ecology,2,local
1977,Ecology,2,local
1978,Ecology,2,local
1978,Ecology,1,regional
1978,Ecology,2,regional
1978,Ecology,2,regional
1978,Ecology,1,local
1979,Ecology,1,regional
1979,Ecology,1,local
1979,Ecology,1,local
1979,Ecology,4,local
1979,Ecology,2,regional
1987,Ecology,2,country
1988,Ecology,1,global
1988,Ecology,1,global
1988,Ecology,1,global
1988,Ecology,1,global
1988,Ecology,2,Regional
1989,Ecology,1,global
1989,Ecology,1,Country
1989,Ecology,1,global
1989,Ecology,1,global
1989,Ecology,1,country
1980,Biogeography ,1,local
1980,Biogeography ,1,regional
1980,Biogeography ,2,regional 
1980,Biogeography ,3,regional
1980,Biogeography ,1,country
1981,Biogeography ,2,local
1981,Biogeography ,1,local
1981,Biogeography ,2,country
1981,Biogeography ,2,global
1981,Biogeography ,4,country
1982,Biogeography ,3,regional
1982,Biogeography ,1,country
1982,Biogeography ,1,local
1982,Biogeography ,3,regional
1982,Biogeography ,2,country
1983,Biogeography ,1,local
1983,Biogeography ,1,local
1983,Biogeography ,2,regional
1983,Biogeography ,3,regional
1983,Biogeography ,2,regional
1984,Biogeography ,1,regional
1984,Biogeography ,2,regional
1984,Biogeography ,1,country
1984,Biogeography ,3,regional
1984,Biogeography ,1,regional
1985,Biogeography ,2,global
1985,Biogeography ,2,regional
1985,Biogeography ,1,regional
1985,Biogeography ,3,country
1985,Biogeography ,4,regional
1986,Biogeography ,3,regional
1986,Biogeography ,3,country
1986,Biogeography ,1,regional
1986,Biogeography ,2,local
1986,Biogeography ,2,regional
1987,Biogeography ,1,regional
1987,Biogeography ,3,country
1987,Biogeography ,4,country
1987,Biogeography ,1,country
1987,Biogeography ,1,regional
1988,Biogeography ,1,country
1988,Biogeography ,1,country
1988,Biogeography ,1,regional
1988,Biogeography ,1,regional
1988,Biogeography ,1,local
1989,Biogeography ,2,country
1989,Biogeography ,2,regional
1989,Biogeography ,1,country
1989,Biogeography ,1,local
1989,Biogeography ,3,regional
1980,Ecography,1,local
1980,Ecography,2,regional
1980,Ecography,2,regional
1980,Ecography,1,local
1980,Ecography,2,local
1981,Ecography,2,local
1981,Ecography,1,regional
1981,Ecography,1,local
1981,Ecography,2,local
1981,Ecography,1,regional
1982,Ecography,3,local
1982,Ecography,3,local
1982,Ecography,1,local
1982,Ecography,2,local
1982,Ecography,2,local
1983,Ecography,2,local
1983,Ecography,4,local
1983,Ecography,1,local
1983,Ecography,1,local
1983,Ecography,3,regional
1984,Ecography,1,regional
1984,Ecography,1,regional
1984,Ecography,1,regional
1984,Ecography,1,regional
1984,Ecography,1,local
1985,Ecography,1,local
1985,Ecography,1,local
1985,Ecography,1,local
1985,Ecography,1,local
1985,Ecography,1,local
1986,Ecography,1,regional 
1986,Ecography,2,regional
1986,Ecography,2,regional
1986,Ecography,3,local
1986,Ecography,1,local
1987,Ecography,2,local
1987,Ecography,4,local
1987,Ecography,2,regional
1987,Ecography,2,local
1987,Ecography,1,regional
1988,Ecography,2,local
1988,Ecography,1,local
1988,Ecography,3,local
1988,Ecography,3,local
1988,Ecography,2,local
1989,Ecography,2,regional
1989,Ecography,2,local
1989,Ecography,1,local
1989,Ecography,1,local
1989,Ecography,2,regional 
1980,Ecology,1,regional 
1980,Ecology,1,local
1980,Ecology,2,hemisphere
1980,Ecology,1,global
1980,Ecology,2,regional 
1981,Ecology,2,regional 
1981,Ecology,1,global
1981,Ecology,2,country
1981,Ecology,1,local
1981,Ecology,3,global
1982,Ecology,1,regional
1982,Ecology,1,local
1982,Ecology,1,global
1982,Ecology,1,global
1982,Ecology,1,local
1983,Ecology,2,country
1983,Ecology,1,local
1983,Ecology,2,local
1983,Ecology,2,local
1983,Ecology,2,local
1984,Ecology,3,global
1984,Ecology,1,regional
1984,Ecology,1,local
1984,Ecology,2,local
1984,Ecology,2,local
1985,Ecology,2,local
1985,Ecology,1,regional
1985,Ecology,1,local
1985,Ecology,1,local
1985,Ecology,1,local
1986,Ecology,2,regional
1986,Ecology,2,regional
1986,Ecology,2,regional
1986,Ecology,2,global
1986,Ecology,2,regional
1987,Ecology,1,country
1987,Ecology,6,regional
1987,Ecology,2,regional
1987,Ecology,1,local
1987,Ecology,2,country
1988,Ecology,1,global
1988,Ecology,1,global
1988,Ecology,1,global
1988,Ecology,1,global
1988,Ecology,2,regional
1989,Ecology,1,global
1989,Ecology,1,country
1989,Ecology,1,global
1989,Ecology,1,global
1989,Ecology,1,global
1980,Biogeography  ,1,local
1980,Biogeography  ,1,regional
1980,Biogeography  ,2,regional 
1980,Biogeography  ,3,regional
1980,Biogeography  ,1,country
1981,Biogeography  ,2,local
1981,Biogeography  ,1,local
1981,Biogeography  ,2,country
1981,Biogeography  ,2,global
1981,Biogeography  ,4,country
1982,Biogeography  ,3,regional
1982,Biogeography  ,1,country
1982,Biogeography  ,1,local
1982,Biogeography  ,3,regional
1982,Biogeography  ,2,country
1983,Biogeography  ,1,local
1983,Biogeography  ,1,local
1983,Biogeography  ,2,regional
1983,Biogeography  ,3,regional
1983,Biogeography  ,2,regional
1984,Biogeography  ,1,regional
1984,Biogeography  ,2,regional
1984,Biogeography  ,1,country
1984,Biogeography  ,3,regional
1984,Biogeography  ,1,regional
1985,Biogeography  ,2,global
1985,Biogeography  ,2,regional
1985,Biogeography  ,1,regional
1985,Biogeography  ,3,country
1985,Biogeography  ,4,regional
1986,Biogeography  ,3,regional
1986,Biogeography  ,3,country
1986,Biogeography  ,1,regional
1986,Biogeography  ,2,local
1986,Biogeography  ,2,regional
1987,Biogeography  ,1,regional
1987,Biogeography  ,3,country
1987,Biogeography  ,4,country
1987,Biogeography  ,1,country
1987,Biogeography  ,1,regional
1988,Biogeography  ,1,country
1988,Biogeography  ,1,country
1988,Biogeography  ,1,regional
1988,Biogeography  ,1,regional
1988,Biogeography  ,1,local
1989,Biogeography  ,2,country
1989,Biogeography  ,2,regional
1989,Biogeography  ,1,country
1989,Biogeography  ,1,local
1989,Biogeography  ,3,regional
1990,Ecology,1,country
1990,Ecology,1,global
1990,Ecology,1,local
1990,Ecology,1,local
1990,Ecology,2,global
1991,Ecology,3,global
1991,Ecology,1,local
1991,Ecology,2,regional
1991,Ecology,2,regional
1991,Ecology,1,regional
1992,Ecology,1,global
1992,Ecology,2,local
1992,Ecology,2,regional
1992,Ecology,3,local
1992,Ecology,3,local
1993,Ecology,2,global
1993,Ecology,1,global
1993,Ecology,2,global
1993,Ecology,1,global
1993,Ecology,3,global
1994,Ecology,2,global
1994,Ecology,1,global
1994,Ecology,2,global
1994,Ecology,1,regional
1994,Ecology,2,regional
1995,Ecology,4,local
1995,Ecology,3,regional
1995,Ecology,1,global
1995,Ecology,1,local
1995,Ecology,2,global
1996,Ecology,3,regional
1996,Ecology,1,local
1996,Ecology,3,global
1996,Ecology,1,global
1996,Ecology,4,regional
1997,Ecology,6,regional
1997,Ecology,1,local
1997,Ecology,2,regional
1997,Ecology,5,global
1997,Ecology,5,regional
1998,Ecology,4,global
1998,Ecology,3,regional
1998,Ecology,2,global
1998,Ecology,1,global
1998,Ecology,2,global
1999,Ecology,2,global
1999,Ecology,2,country
1999,Ecology,1,regional
1999,Ecology,4,global
1999,Ecology,6,global
1990,Biogeography,4,country
1990,Biogeography,1,country
1990,Biogeography,3,regional 
1990,Biogeography,1,country
1990,Biogeography,1,country
