year,journal,study_size,no_of_authors 
1990,Ecology,country,1
1990,Ecology,global,1
1990,Ecology,local,1
1990,Ecology,local,1
1990,Ecology,global,2
1991,Ecology,global,3
1991,Ecology,local,1
1991,Ecology,regional,2
1991,Ecology,regional,2
1991,Ecology,regional,1
1992,Ecology,global,1
1992,Ecology,local,2
1992,Ecology,regional,2
1992,Ecology,local,3
1992,Ecology,local,3
1993,Ecology,global,2
1993,Ecology,global,1
1993,Ecology,global,2
1993,Ecology,global,1
1993,Ecology,global,3
1994,Ecology,global,2
1994,Ecology,global,1
1994,Ecology,global,2
1994,Ecology,regional,1
1994,Ecology,regional,2
1995,Ecology,local,4
1995,Ecology,regional,3
1995,Ecology,global,1
1995,Ecology,local,1
1995,Ecology,global,2
1996,Ecology,regional,3
1996,Ecology,local,1
1996,Ecology,global,3
1996,Ecology,global,1
1996,Ecology,regional,4
1997,Ecology,regional,6
1997,Ecology,local,1
1997,Ecology,regional,2
1997,Ecology,global,5
1997,Ecology,regional,5
1998,Ecology,global,4
1998,Ecology,regional,3
1998,Ecology,global,2
1998,Ecology,global,1
1998,Ecology,global,2
1999,Ecology,global,2
1999,Ecology,country,2
1999,Ecology,regional,1
1999,Ecology,global,4
1999,Ecology,global,6
1990,Biogeography,country,4
1990,Biogeography,country,1
1990,Biogeography,regional ,3
1990,Biogeography,country,1
1990,Biogeography,country,1
1991,Biogeography,hemisphere,3
1991,Biogeography,country,3
1991,Biogeography,country,1
1991,Biogeography,country,2
1991,Biogeography,country,1
1992,Biogeography,country,2
1992,Biogeography,regional ,1
1992,Biogeography,continental,2
1992,Biogeography,regional ,1
1992,Biogeography,country,1
1993,Biogeography,country,4
1993,Biogeography,country,4
1993,Biogeography,continental,2
1993,Biogeography,country,1
1993,Biogeography,country,5
1994,Biogeography,country,2
1994,Biogeography,country,1
1994,Biogeography,country,5
1994,Biogeography,continental,4
1994,Biogeography,regional ,1
1995,Biogeography,country,2
1995,Biogeography,country,2
1995,Biogeography,regional ,2
1995,Biogeography,regional ,2
1995,Biogeography,regional ,4
1996,Biogeography,country,3
1996,Biogeography,local,1
1996,Biogeography,regional ,3
1996,Biogeography,country,3
1996,Biogeography,country,4
1997,Biogeography,regional ,2
1997,Biogeography,country,3
1997,Biogeography,regional ,1
1997,Biogeography,country,4
1997,Biogeography,continental,1
1998,Biogeography,regional ,3
1998,Biogeography,regional ,3
1998,Biogeography,continental,1
1998,Biogeography,continental,1
1998,Biogeography,local,3
1999,Biogeography,continental,2
1999,Biogeography,country,2
1999,Biogeography,country,1
1999,Biogeography,global,3
1999,Biogeography,regional ,5
1990,Ecography,local,1
1990,Ecography,regional,2
1990,Ecography,local,5
1990,Ecography,regional,6
1990,Ecography,regional,2
1991,Ecography,local,1
1991,Ecography,regional,2
1991,Ecography,regional,3
1991,Ecography,country,2
1991,Ecography,local,1
1992,Ecography,local,2
1992,Ecography,local,3
1992,Ecography,local,1
1992,Ecography,local,2
1992,Ecography,local,2
1993,Ecography,regional,2
1993,Ecography,regional,1
1993,Ecography,local,3
1993,Ecography,local,1
1993,Ecography,local,2
1994,Ecography,regional,1
1994,Ecography,local,2
1994,Ecography,local,1
1994,Ecography,country,1
1994,Ecography,country,1
1995,Ecography,country,1
1995,Ecography,local,3
1995,Ecography,regional,3
1995,Ecography,local,3
1995,Ecography,regional,3
1996,Ecography,local,3
1996,Ecography,regional,2
1996,Ecography,local,3
1996,Ecography,local,3
1996,Ecography,regional,1
1997,Ecography,regional,2
1997,Ecography,local,1
1997,Ecography,local,4
1997,Ecography,local,3
1997,Ecography,local,1
1998,Ecography,local,3
1998,Ecography,regional,7
1998,Ecography,regional,1
1998,Ecography,regional,4
1998,Ecography,regional,1
1999,Ecography,country,1
1999,Ecography,regional,2
1999,Ecography,local,3
1999,Ecography,local,2
1999,Ecography,local,3
